DHSID,DHSCLUST,All_Population_Count_2010,All_Population_Count_2015,All_Population_Density_2010,All_Population_Density_2015,Aridity,BUILT_Population_2014,Drought_Episodes,Enhanced_Vegetation_Index_2010,Enhanced_Vegetation_Index_2015,Global_Human_Footprint,Growing_Season_Length,ITN_Coverage_2010,ITN_Coverage_2015,Malaria_2010,Malaria_2015,Nightlights_Composite,Potential_Evapotranspiration,Proximity_to_National_Borders,Proximity_to_Protected_Areas,Proximity_to_Water,Rainfall_2010,Rainfall_2015,Travel_Times
ZW201500000233,233,12399.31445,13844.62793,39.46824371,44.06881941,4537.942708,0.002445055,8.0,2851.833333,2808.333333,34.67447917,7.0,0.164602354,0.546942731,0.029958732999999998,0.03742197,0.00042912800000000003,1657.046875,43347.374560000004,197521.1756,110634.6855,791.5833332999999,605.6666667000001,251.99479169999998
ZW201500000234,234,10450.09375,11668.19922,831.592038,928.5257913999999,3179.428571,0.005787,8.0,3388.0,3326.0,61.71428571,5.0,0.147548604,0.465180955,0.060757153,0.060489985999999996,1.890550159,1790.5,73488.25971,29872.835280000003,110336.1965,579.0,354.0,170.0714286
ZW201500000235,235,30981.23828,34592.53906,2465.4086079999997,2752.7867929999998,3627.375,0.060152784,9.0,2481.0,2400.0,84.5,5.0,0.098959416,0.28450936,0.026047538999999998,0.022659946,1.52774298,1596.1875,101318.4864,35958.86406,241678.0087,537.0,347.0,4.6875
ZW201500000236,236,17032.94336,19018.37305,54.21754262,60.53736161,3733.319693,0.000363718,8.0,2499.166667,2503.833333,31.57033248,5.0,0.09838735400000001,0.364970516,0.024300985,0.025696404,0.005855282,1635.207161,206618.3247,28770.674239999997,53145.387460000005,557.4545455,289.9090909,233.8235294
ZW201500000237,237,14356.13086,16029.53906,1142.424595,1275.5901880000001,4425.285714,0.305591365,5.0,2466.0,2266.0,83.35714286,6.0,0.054828247000000004,0.242954153,0.021609647000000003,0.020819336,2.7416236880000002,1541.0,243849.5864,106748.1447,139527.8063,671.0,401.0,4.714285714
ZW201500000238,238,4409.108886999999,4923.052246,14.03462948,15.670562,3996.704188,2.4e-06,5.0,3053.636364,3061.909091,24.06527415,7.0,0.157697237,0.372061862,0.33482497899999997,0.21908035899999997,0.0,1797.463351,30351.7831,2263.642045,23364.31979,878.0833332999998,554.6666667000001,411.3507853
ZW201500000239,239,13055.86914,14577.71484,1038.9530550000002,1160.057688,3544.0,0.032086868,9.0,2571.0,2553.0,63.8125,6.0,0.078949298,0.23901042399999997,0.02519949,0.022624075,0.6594585239999999,1603.25,91223.89587000001,36307.00399,253873.3562,515.0,323.0,18.9375
ZW201500000240,240,5080.707031,5672.93457,16.17239277,18.05751157,4791.849351,0.007760803,5.0,2846.6,2785.2,22.402597399999998,6.0,0.151222738,0.42758417600000004,0.042814059,0.043790182999999996,0.0,1685.4207789999998,150178.3866,108909.55699999999,123441.2635,803.6,611.1,483.9428571
ZW201500000241,241,4781.111816,5338.41748,15.21875158,16.992710600000002,3595.2131979999995,1.86e-06,5.0,2881.0,2944.6,36.210659899999996,6.0,0.17795338,0.438297846,0.06666921,0.06249313,0.0,1754.9568530000001,158960.9483,85843.42388999999,155894.68300000002,715.7272727000001,470.9090909,259.2875318
ZW201500000242,242,34502.51172,38524.26563,2745.622645,3065.6636519999997,3997.571429,0.23500139899999997,8.0,2521.0,2467.0,69.28571429,6.0,0.074258296,0.324941639,0.02628036,0.026184861,2.48377579,1580.5,184112.9731,9513.484047,10894.42999,516.0,263.0,1.571428571
