hv001,hv002,total_household_members,hv010,hv011,hv012,hv014,hv024,hv025,hv027,financial_depriv,electricity_depriv,water_depriv,sanitation_depriv,cooking_fuel_depriv,floor_depriv,information_asset,mobility_asset,livelihood_asset,asset_depriv,hv108,malnutrition,child_under_5,woman_15_to_49,child_not_in_school,school_attainment_depriv,school_attendance_depriv,child_mortailty,total_of_weighted_deprivations,headcount_poor,total_poverty_intensity,DHSID_num,ADM1NAME,LATNUM,LONGNUM,Nightlights_Composite,All_Population_Density_2015,BUILT_Population_2014,geometry,index_right,PROVINCE,PROV_CODE,HRName,HRPCode,HRParent
7,1,5,2,1,5,1,3,1,1,0,0,0,1,0,0,1,1,1,0,3,1.0,1,1,0,0,0,0.0,0.2222222222222222,0,0.0,7,Mashonaland East,-18.193046,31.556956,2.803759575,1890.894233,0.15327725,POINT (31.556956 -18.193046),8,Mashonaland East,13,Mashonaland East,ZW13,ZW
7,2,5,1,2,5,1,3,1,1,0,0,0,0,0,0,1,1,1,0,3,0.0,1,1,0,0,0,0.0,0.0,0,0.0,7,Mashonaland East,-18.193046,31.556956,2.803759575,1890.894233,0.15327725,POINT (31.556956 -18.193046),8,Mashonaland East,13,Mashonaland East,ZW13,ZW
7,3,4,1,1,4,0,3,1,1,0,0,0,1,0,0,1,1,1,0,4,0.0,0,1,0,0,0,0.0,0.05555555555555555,0,0.0,7,Mashonaland East,-18.193046,31.556956,2.803759575,1890.894233,0.15327725,POINT (31.556956 -18.193046),8,Mashonaland East,13,Mashonaland East,ZW13,ZW
7,4,7,2,1,7,2,3,1,1,0,0,1,0,0,0,1,1,1,0,4,1.0,1,1,0,0,0,0.0,0.2222222222222222,0,0.0,7,Mashonaland East,-18.193046,31.556956,2.803759575,1890.894233,0.15327725,POINT (31.556956 -18.193046),8,Mashonaland East,13,Mashonaland East,ZW13,ZW
7,8,6,2,1,6,1,3,1,1,0,0,1,1,0,0,1,1,1,0,4,0.0,0,1,0,0,0,0.0,0.1111111111111111,0,0.0,7,Mashonaland East,-18.193046,31.556956,2.803759575,1890.894233,0.15327725,POINT (31.556956 -18.193046),8,Mashonaland East,13,Mashonaland East,ZW13,ZW
7,10,4,1,1,4,1,3,1,1,0,0,0,1,0,0,1,1,1,0,2,0.0,1,1,0,0,0,0.0,0.05555555555555555,0,0.0,7,Mashonaland East,-18.193046,31.556956,2.803759575,1890.894233,0.15327725,POINT (31.556956 -18.193046),8,Mashonaland East,13,Mashonaland East,ZW13,ZW
7,11,4,1,0,4,2,3,1,1,0,0,0,1,0,0,1,1,1,0,1,0.0,1,1,0,0,0,0.0,0.05555555555555555,0,0.0,7,Mashonaland East,-18.193046,31.556956,2.803759575,1890.894233,0.15327725,POINT (31.556956 -18.193046),8,Mashonaland East,13,Mashonaland East,ZW13,ZW
7,12,2,1,0,2,0,3,1,1,0,0,1,1,0,0,1,1,1,0,1,0.0,0,1,0,0,0,0.0,0.1111111111111111,0,0.0,7,Mashonaland East,-18.193046,31.556956,2.803759575,1890.894233,0.15327725,POINT (31.556956 -18.193046),8,Mashonaland East,13,Mashonaland East,ZW13,ZW
7,13,3,1,1,3,1,3,1,1,1,0,0,1,0,0,1,1,1,0,2,1.0,1,1,0,0,0,0.0,0.2222222222222222,0,0.0,7,Mashonaland East,-18.193046,31.556956,2.803759575,1890.894233,0.15327725,POINT (31.556956 -18.193046),8,Mashonaland East,13,Mashonaland East,ZW13,ZW
7,17,6,1,1,6,1,3,1,1,0,0,0,0,0,0,1,0,1,0,3,0.0,1,1,0,0,0,0.0,0.0,0,0.0,7,Mashonaland East,-18.193046,31.556956,2.803759575,1890.894233,0.15327725,POINT (31.556956 -18.193046),8,Mashonaland East,13,Mashonaland East,ZW13,ZW
7,18,3,1,1,2,0,3,1,1,0,0,1,0,0,0,1,0,1,0,2,0.0,1,1,0,0,0,0.0,0.05555555555555555,0,0.0,7,Mashonaland East,-18.193046,31.556956,2.803759575,1890.894233,0.15327725,POINT (31.556956 -18.193046),8,Mashonaland East,13,Mashonaland East,ZW13,ZW
7,20,5,2,1,5,1,3,1,1,0,0,0,1,0,0,1,0,1,0,3,0.0,1,1,0,0,0,0.0,0.05555555555555555,0,0.0,7,Mashonaland East,-18.193046,31.556956,2.803759575,1890.894233,0.15327725,POINT (31.556956 -18.193046),8,Mashonaland East,13,Mashonaland East,ZW13,ZW
7,22,5,1,2,2,0,3,1,1,0,0,0,1,0,0,1,1,1,0,3,0.0,0,1,0,0,0,0.0,0.05555555555555555,0,0.0,7,Mashonaland East,-18.193046,31.556956,2.803759575,1890.894233,0.15327725,POINT (31.556956 -18.193046),8,Mashonaland East,13,Mashonaland East,ZW13,ZW
7,23,5,2,1,4,1,3,1,1,0,0,0,1,0,0,1,1,1,0,3,0.0,1,1,0,0,0,0.0,0.05555555555555555,0,0.0,7,Mashonaland East,-18.193046,31.556956,2.803759575,1890.894233,0.15327725,POINT (31.556956 -18.193046),8,Mashonaland East,13,Mashonaland East,ZW13,ZW
7,28,1,1,0,1,0,3,1,1,1,0,0,1,0,0,1,0,0,1,0,0.0,0,1,0,1,0,0.0,0.2777777777777778,0,0.0,7,Mashonaland East,-18.193046,31.556956,2.803759575,1890.894233,0.15327725,POINT (31.556956 -18.193046),8,Mashonaland East,13,Mashonaland East,ZW13,ZW
7,29,3,1,1,3,0,3,1,1,0,0,0,1,0,0,1,1,1,0,2,0.0,0,1,0,0,0,0.0,0.05555555555555555,0,0.0,7,Mashonaland East,-18.193046,31.556956,2.803759575,1890.894233,0.15327725,POINT (31.556956 -18.193046),8,Mashonaland East,13,Mashonaland East,ZW13,ZW
