v001,v002,b2,b3,b5,b7
4,24,2011,1338,1,
4,24,2009,1315,1,
4,26,2014,1370,1,
4,26,2011,1333,1,
4,26,2003,1239,1,
4,29,2013,1363,1,
5,1,2011,1335,1,
5,1,2009,1317,1,
5,5,2006,1282,1,
5,12,2015,1384,1,
5,12,2010,1326,1,
5,17,2004,1255,1,
5,23,2015,1387,1,
5,24,2009,1317,1,
5,24,2002,1236,1,
5,24,1999,1189,1,
5,24,1992,1110,1,
5,29,2010,1325,1,
5,29,2006,1282,1,
5,29,2005,1263,1,
6,1,2011,1343,1,
6,1,2010,1324,1,
6,1,2005,1262,1,
6,1,2002,1226,1,
6,2,2007,1286,1,
6,2,2001,1223,1,
6,3,2014,1371,1,
6,4,2014,1372,1,
6,6,2012,1353,1,
6,6,2002,1234,1,
6,6,1995,1150,1,
6,8,2000,1205,1,
6,8,1998,1185,0,1.0
6,8,1995,1144,1,
6,10,2013,1358,1,
6,10,2010,1321,1,
6,10,2005,1262,1,
6,10,2001,1221,1,
6,11,2012,1350,1,
6,11,2008,1303,1,
6,11,2002,1232,1,
6,11,1999,1196,1,
6,12,2014,1373,1,
6,12,2010,1328,1,
6,14,2015,1387,1,
6,14,2012,1355,1,
6,15,2013,1368,1,
6,15,2011,1335,1,
6,15,2008,1306,1,
6,15,2005,1266,1,
6,16,2011,1339,1,
6,16,2004,1258,1,
6,16,1998,1186,1,
6,16,1994,1136,1,
6,20,2011,1336,1,
6,20,2002,1230,1,
6,20,1998,1179,1,
6,20,1994,1137,1,
6,22,2014,1370,1,
6,22,2006,1278,1,
6,22,1996,1160,1,
6,25,2011,1338,1,
6,25,2010,1322,1,
6,25,2008,1307,1,
6,25,2002,1232,1,
6,28,2014,1376,1,
6,29,2006,1283,1,
6,29,1998,1179,1,
6,29,1995,1141,1,
7,1,2012,1350,1,
7,1,2008,1297,1,
7,2,2013,1358,1,
7,2,2010,1330,1,
7,2,2008,1298,1,
7,2,1998,1181,1,
7,2,1994,1129,1,
7,3,2002,1236,1,
7,3,2001,1215,1,
7,4,2011,1340,1,
7,4,2011,1340,1,
7,4,2006,1281,1,
7,4,2001,1223,1,
7,4,1997,1169,1,
7,4,1995,1143,1,
7,8,2009,1320,1,
7,8,2004,1249,1,
7,8,2001,1222,1,
7,8,1998,1188,1,
7,10,2014,1378,1,
7,10,2010,1330,1,
7,11,2012,1354,1,
7,11,2010,1324,1,
7,11,2005,1266,1,
7,12,2004,1256,1,
7,12,1997,1172,1,
7,13,2012,1349,1,
7,13,2008,1299,1,
7,13,2000,1201,1,
7,13,1998,1184,1,
7,17,2012,1355,1,
7,18,1999,1198,1,
7,18,1997,1167,1,
7,18,1993,1120,1,
7,20,2012,1348,1,
7,20,2008,1300,1,
7,22,2010,1323,1,
7,22,2004,1253,1,
7,22,1998,1183,1,
7,23,2010,1330,1,
7,23,2007,1287,1,
7,28,2004,1257,1,
7,29,2011,1344,1,
7,29,2006,1277,1,
8,2,2015,1387,1,
8,3,2013,1360,1,
8,3,2011,1338,1,
8,3,2011,1338,1,
8,3,2007,1291,1,
8,4,2013,1365,1,
8,4,2006,1275,1,
8,4,2003,1239,1,
8,4,1998,1187,1,
8,4,1997,1170,1,
8,6,2004,1250,1,
8,6,1999,1193,1,
8,6,1992,1114,0,12.0
8,9,2013,1361,1,
8,9,2010,1331,1,
8,9,2008,1302,1,
8,9,2003,1240,1,
8,9,2000,1204,1,
8,9,2007,1294,0,60.0
8,9,2006,1277,1,
8,9,2006,1277,1,
8,9,2003,1239,1,
8,13,2002,1234,1,
8,13,1997,1171,1,
8,13,1995,1142,1,
8,15,2015,1384,1,
8,16,2012,1351,1,
8,20,2013,1363,1,
8,20,2012,1345,0,6.0
8,25,1997,1172,0,24.0
8,25,1996,1158,1,
8,25,1986,1038,1,
8,27,2014,1375,1,
8,27,2012,1351,1,
8,27,2009,1320,1,
8,27,2007,1289,0,12.0
8,27,2005,1271,0,12.0
8,27,2004,1256,1,
8,27,2002,1226,1,
8,28,2007,1286,1,
8,28,1994,1136,1,
8,28,1990,1085,0,204.0
8,29,2008,1305,1,
8,29,2005,1269,1,
8,29,2001,1214,1,
9,1,2010,1326,1,
9,1,2003,1239,1,
9,2,2007,1291,1,
9,4,2013,1363,1,
9,4,2008,1305,1,
9,7,2012,1355,1,
9,7,2010,1322,1,
9,7,2006,1277,1,
9,8,2012,1355,1,
9,8,2010,1326,1,
9,8,2008,1299,1,
9,8,2006,1274,1,
9,8,2004,1249,1,
9,8,2001,1221,1,
9,8,1998,1186,1,
9,9,2014,1369,1,
9,9,2008,1298,1,
9,9,2002,1227,1,
9,10,2013,1364,1,
9,10,2011,1341,1,
9,10,2008,1297,1,
9,11,2013,1368,1,
9,11,2009,1319,1,
9,11,2003,1248,1,
9,12,2014,1376,1,
9,12,2010,1331,0,21.0
9,12,2006,1273,1,
9,12,2001,1217,1,
9,15,2015,1382,1,
9,15,2001,1221,1,
9,19,2001,1221,1,
9,21,1993,1122,1,
9,21,1990,1090,1,
9,22,2013,1359,1,
9,22,2003,1241,1,
9,22,2000,1201,1,
9,24,2007,1294,1,
9,24,2004,1258,1,
9,24,2002,1226,1,
9,25,2015,1385,1,
9,25,2012,1356,1,
9,25,2001,1216,1,
9,25,1995,1149,1,
9,25,1991,1098,1,
9,26,1996,1156,1,
9,26,1991,1096,1,
9,27,2015,1387,1,
9,27,2013,1359,1,
9,29,2010,1323,1,
9,29,2009,1312,0,0.0
10,1,2013,1365,1,
10,1,2010,1332,1,
10,2,2014,1375,1,
10,2,2012,1351,0,9.0
10,2,2010,1331,0,6.0
10,3,2003,1247,1,
10,3,1997,1169,1,
10,3,1992,1109,1,
10,4,2012,1348,1,
10,4,2010,1329,1,
10,4,2007,1289,1,
10,4,2010,1324,1,
10,7,2015,1385,1,
10,8,2006,1279,1,
10,8,2000,1212,1,
10,10,2011,1337,1,
10,10,2004,1253,1,
10,10,1994,1135,1,
10,10,1990,1087,1,
10,12,2010,1321,1,
10,12,2010,1321,1,
10,12,2004,1257,1,
10,12,2012,1356,1,
10,13,2004,1257,1,
10,13,2001,1216,1,
10,13,1991,1102,1,
10,14,2010,1328,1,
10,14,2003,1247,1,
10,18,2015,1390,1,
10,18,2011,1339,1,
10,18,2005,1262,1,
10,18,2001,1224,1,
10,18,2011,1337,1,
10,18,2007,1292,1,
10,19,2014,1372,1,
10,20,2013,1359,1,
10,20,2006,1278,1,
10,20,2002,1230,1,
10,22,2010,1330,1,
10,22,2002,1227,1,
10,22,1996,1161,1,
10,22,2005,1262,1,
10,23,1998,1179,1,
10,24,2014,1373,1,
10,24,2012,1345,1,
10,24,2012,1345,1,
10,24,2009,1319,1,
10,24,2007,1294,1,
10,24,2006,1277,0,9.0
10,24,2004,1260,1,
10,25,2015,1384,1,
10,28,2003,1246,1,
10,28,1997,1168,1,
10,28,1992,1116,1,
10,28,1991,1102,0,0.0
10,29,2007,1295,1,
10,29,2007,1295,1,
10,29,2002,1226,1,
11,4,2008,1302,1,
11,4,2006,1281,1,
11,4,2004,1257,1,
11,12,1994,1140,1,
11,12,1992,1112,1,
11,12,1989,1079,1,
11,13,2002,1232,1,
11,13,1999,1190,1,
11,13,1993,1128,1,
11,13,1988,1066,0,108.0
11,15,2006,1277,1,
11,15,1998,1183,1,
11,15,1994,1129,1,
11,15,1991,1094,1,
11,17,2000,1212,1,
11,17,1994,1132,1,
11,17,1991,1095,1,
11,17,1987,1047,1,
11,20,2007,1285,1,
11,20,1999,1195,1,
11,21,2006,1273,1,
11,21,2004,1250,0,12.0
11,21,1999,1192,1,
11,21,2010,1326,1,
11,21,2007,1285,1,
11,22,2002,1225,1,
11,23,2006,1283,1,
11,23,2004,1256,1,
11,25,2009,1317,1,
11,25,2006,1277,1,
11,25,2004,1251,1,
12,2,2007,1285,1,
12,2,2000,1210,1,
12,2,1998,1177,1,
12,2,1996,1153,0,12.0
12,2,1993,1126,1,
12,2,1991,1098,1,
12,3,2012,1354,1,
12,3,2011,1333,1,
12,3,2007,1286,0,11.0
12,4,2011,1341,1,
12,4,2007,1294,1,
12,4,2002,1231,1,
12,4,1998,1182,1,
12,4,1996,1153,1,
12,5,2014,1377,1,
12,5,2011,1342,1,
12,7,2013,1361,1,
12,7,2001,1219,1,
12,7,1997,1175,1,
12,7,1994,1137,1,
12,9,2014,1380,1,
12,9,2012,1349,1,
12,9,2007,1294,1,
12,11,2013,1359,1,
12,11,2009,1314,1,
12,12,2014,1376,1,
12,12,2012,1345,1,
12,14,2012,1350,1,
12,14,2008,1303,1,
12,16,2015,1381,0,0.0
12,16,2011,1336,1,
12,16,2008,1302,1,
12,16,2007,1290,0,0.0
12,20,2015,1384,1,
12,20,2012,1352,1,
12,20,2010,1322,1,
12,20,2007,1290,1,
12,20,2007,1290,1,
12,20,2005,1261,1,
12,20,2002,1229,1,
12,20,1999,1199,0,120.0
12,22,2013,1360,1,
12,22,2009,1312,1,
12,23,2014,1375,1,
12,23,2010,1326,1,
12,23,2006,1277,1,
12,24,2015,1383,1,
12,25,2013,1366,1,
12,25,2005,1266,1,
12,25,2003,1239,1,
12,25,1999,1197,1,
12,27,2010,1332,1,
12,27,2007,1289,1,
12,27,2001,1213,1,
12,27,1998,1180,1,
12,27,1996,1153,1,
12,29,2003,1240,1,
12,29,1993,1122,1,
12,29,1988,1066,1,
13,1,2014,1370,1,
13,1,2011,1341,1,
13,4,2014,1373,1,
13,6,2004,1252,1,
13,6,2002,1230,0,0.0
13,6,1998,1182,1,
13,9,2003,1238,1,
13,10,2011,1343,1,
13,10,2013,1364,1,
13,10,2008,1304,1,
13,10,2005,1267,1,
13,12,2011,1333,1,
13,12,2009,1316,1,
13,12,2007,1290,1,
13,13,2013,1366,1,
13,13,2011,1344,1,
13,13,2009,1316,1,
13,14,2014,1371,1,
13,14,2011,1342,1,
13,14,2009,1315,1,
13,14,2006,1283,1,
13,16,2012,1353,1,
13,16,2009,1317,1,
13,16,2006,1279,1,
13,16,2002,1226,1,
13,16,1999,1196,1,
13,19,2015,1384,1,
13,22,2002,1227,1,
13,22,2000,1205,1,
13,22,1996,1161,1,
13,22,1994,1138,1,
13,22,1992,1108,1,
13,22,1985,1025,0,0.0
13,25,2014,1372,1,
13,25,2010,1332,1,
13,28,2014,1379,1,
13,28,2011,1344,1,
13,29,2012,1356,1,
14,1,2014,1380,1,
14,1,2011,1335,1,
14,1,2002,1229,1,
14,1,1999,1192,1,
14,8,2010,1325,1,
